SampleID,Plate_number,Plate_name,Plate_position,Site_Name,Sex,Dev_stage,Sample_date,Sample_timing,Site_number,Site_type,Nest_placed_date,Date_extracted,Qiagen_kit,Code,Number_2,Primer,Linker,Linker_2,Combine_1,Combine_2,Combine_3,Decontam,Site_type_Sampling_timing
RF245.023.Plate1.G3.799FMod3.1115R.Comstock.M,1,Plate,G3,Comstock,M,e,5/10/2022,early,6,Residential,4/5/2022,7/27/2022,14,RF245,23,799FMod3.1115R,.,_,Residential_early_Comstock,Residential_early_Comstock_M,Residential_early_Tobias_F_e,Sample,Residential_early
RF245.024.Plate1.A4.799FMod3.1115R.Comstock.M,1,Plate,A4,Comstock,M,e,5/10/2022,early,6,Residential,4/5/2022,7/28/2022,15,RF245,24,799FMod3.1115R,.,_,Residential_early_Comstock,Residential_early_Comstock_M,Residential_early_Tobias_F_e,Sample,Residential_early
RF245.025.Plate1.B4.799FMod3.1115R.Danforth.F,1,Plate,B4,Danforth,F,e,5/10/2022,early,10,Residential,4/5/2022,7/28/2022,15,RF245,25,799FMod3.1115R,.,_,Residential_early_Danforth,Residential_early_Danforth_F,Residential_early_Tobias_F_e,Sample,Residential_early
RF245.026.Plate1.C4.799FMod3.1115R.Danforth.F,1,Plate,C4,Danforth,F,e,5/10/2022,early,10,Residential,4/5/2022,7/28/2022,15,RF245,26,799FMod3.1115R,.,_,Residential_early_Danforth,Residential_early_Danforth_F,Residential_early_Tobias_F_e,Sample,Residential_early
RF245.027.Plate1.D4.799FMod3.1115R.Danforth.M,1,Plate,D4,Danforth,M,e,5/10/2022,early,10,Residential,4/5/2022,7/28/2022,15,RF245,27,799FMod3.1115R,.,_,Residential_early_Danforth,Residential_early_Danforth_M,Residential_early_Tobias_F_e,Sample,Residential_early
RF245.028.Plate1.E4.799FMod3.1115R.Danforth.M,1,Plate,E4,Danforth,M,e,5/10/2022,early,10,Residential,4/5/2022,7/28/2022,15,RF245,28,799FMod3.1115R,.,_,Residential_early_Danforth,Residential_early_Danforth_M,Residential_early_Tobias_F_e,Sample,Residential_early
RF245.029.Plate1.F4.799FMod3.1115R.Danforth.F,1,Plate,F4,Danforth,F,e,5/10/2022,early,10,Residential,4/5/2022,7/28/2022,15,RF245,29,799FMod3.1115R,.,_,Residential_early_Danforth,Residential_early_Danforth_F,Residential_early_Tobias_F_e,Sample,Residential_early
RF245.030.Plate1.G4.799FMod3.1115R.Danforth.F,1,Plate,G4,Danforth,F,e,5/10/2022,early,10,Residential,4/5/2022,7/28/2022,15,RF245,30,799FMod3.1115R,.,_,Residential_early_Danforth,Residential_early_Danforth_F,Residential_early_Tobias_F_e,Sample,Residential_early
RF245.031.Plate1.H4.799FMod3.1115R.Danforth.M,1,Plate,H4,Danforth,M,e,5/10/2022,early,10,Residential,4/5/2022,7/28/2022,15,RF245,31,799FMod3.1115R,.,_,Residential_early_Danforth,Residential_early_Danforth_M,Residential_early_Tobias_F_e,Sample,Residential_early
RF245.032.Plate1.A5.799FMod3.1115R.Danforth.M,1,Plate,A5,Danforth,M,e,5/10/2022,early,10,Residential,4/5/2022,7/28/2022,15,RF245,32,799FMod3.1115R,.,_,Residential_early_Danforth,Residential_early_Danforth_M,Residential_early_Tobias_F_e,Sample,Residential_early
